Id	Name	Position	Salary
1	Ксения Галкина	консультант	96000
2	Геннадий Кондратьев	сотрудник	92000
3	Фёдор Беспалов	аналитик	84000
4	Раиса Ковалева	дизайнер	95000
5	Арсений Лебедев	сотрудник	88000
6	Анастасия Щукина	консультант	26000
7	Никита Горбунов	помощник	87000
8	Алёна Петухова	дизайнер	93000
9	Валерия Симонова	специалист	50000
10	Наталья Агафонова	дизайнер	35000
11	Юлия Кудряшова	администратор	93000
12	Юлия Лебедева	администратор	77000
13	Антонида Белоусова	дизайнер	99000
14	Константин Харитонов	инженер	83000
15	Регина Калашникова	техник	21000
16	Раиса Лебедева	консультант	42000
17	София Зуева	специалист	68000
18	Виктор Шаров	архитектор	53000
19	Николай Селиверстов	разработчик	38000
20	Ангелина Зиновьева	архитектор	41000
21	Егор Петров	менеджер	25000
22	Галина Григорьева	руководитель	67000
23	Валентин Исаков	дизайнер	34000
24	Лидия Мясникова	администратор	74000
25	Никита Петухов	аналитик	45000
26	Елизавета Ширяева	администратор	65000
27	Анатолий Титов	планировщик	23000
28	Зинаида Белова	инженер	73000
29	Артём Терентьев	помощник	25000
30	Клавдия Борисова	специалист	22000
31	Светлана Ефремова	планировщик	36000
32	Анжела Виноградова	техник	30000
33	Клавдия Котова	руководитель	99000
34	Константин Дмитриев	архитектор	45000
35	Алексей Суворов	разработчик	85000
36	Зоя Терентьева	агент	47000
37	Римма Шестакова	дизайнер	93000
38	Алёна Нестерова	сотрудник	100000
39	Варвара Беспалова	администратор	34000
40	Степан Назаров	дизайнер	80000
41	Клавдия Жданова	аналитик	84000
42	Степан Александров	консультант	64000
43	Арина Соколова	руководитель	93000
44	Аркадий Большаков	планировщик	74000
45	Валерия Панова	инженер	77000
46	Валерий Исаев	дизайнер	89000
47	Юлия Соколова	планировщик	29000
48	Ольга Рябова	помощник	39000
49	Анастасия Титова	инженер	92000
50	Георгий Сорокин	планировщик	75000
51	Арсений Гаврилов	менеджер	71000
52	Вадим Самсонов	руководитель	63000
53	Ирина Яковлева	администратор	100000
54	Зинаида Цветкова	аналитик	94000
55	Герман Блохин	руководитель	95000
56	Артём Богданов	администратор	75000
57	Евгения Константинова	агент	55000
58	Елизавета Колесникова	инженер	21000
59	Виктор Белозеров	архитектор	58000
60	Дарья Зуева	помощник	95000
61	Никита Лобанов	специалист	41000
62	Максим Ковалев	инженер	44000
63	Андрей Калинин	координатор	26000
64	Василий Самсонов	консультант	81000
65	Никита Симонов	специалист	94000
66	Марина Наумова	разработчик	30000
67	Зоя Доронина	сотрудник	39000
68	Арина Гордеева	аналитик	81000
69	Тамара Федосеева	разработчик	24000
70	Марина Панфилова	специалист	25000
71	Лидия Михайлова	сотрудник	100000
72	Оксана Родионова	дизайнер	89000
73	Владислав Журавлев	инженер	35000
74	Жанна Зайцева	администратор	93000
75	Оксана Родионова	аналитик	58000
76	Оксана Зиновьева	инженер	34000
77	Евгений Симонов	архитектор	36000
78	Анна Бирюкова	сотрудник	43000
79	София Тимофеева	агент	88000
80	Жанна Жукова	инженер	64000
81	Анжелика Савина	администратор	88000
82	Василий Семенов	инженер	56000
83	Любовь Волкова	менеджер	22000
84	Денис Морозов	дизайнер	64000
85	Сергей Маслов	помощник	99000
86	Анжела Селезнева	менеджер	49000
87	Анатолий Федоров	специалист	23000
88	Вера Давыдова	консультант	99000
89	Василиса Денисова	планировщик	33000
90	Григорий Герасимов	сотрудник	33000
91	Варвара Николаева	помощник	81000
92	Вадим Беляев	агент	23000
93	Варвара Голубева	руководитель	30000
94	Лаврентий Ковалев	аналитик	37000
95	Владислав Сысоев	координатор	92000
96	Римма Харитонова	аналитик	48000
97	Валерий Шаров	консультант	20000
98	Василий Одинцов	помощник	74000
99	Анжелика Селиверстова	руководитель	25000
100	Юлия Голубева	архитектор	83000
101	Алёна Титова	руководитель	53000
102	Виктория Боброва	администратор	27000
103	Владимир Рогов	архитектор	62000
104	Антон Ершов	разработчик	33000
105	Анжела Быкова	координатор	66000
106	Денис Панов	разработчик	88000
107	Евгения Михеева	сотрудник	68000
108	Максим Корнилов	агент	88000
109	Арсений Молчанов	дизайнер	51000
110	Алла Третьякова	инженер	61000
111	Николай Мухин	архитектор	88000
112	Константин Дмитриев	специалист	53000
113	Лариса Пахомова	администратор	26000
114	Борис Зиновьев	агент	65000
115	Ольга Гущина	сотрудник	68000
116	Владислав Дроздов	руководитель	66000
117	Варвара Анисимова	специалист	91000
118	Марина Петухова	дизайнер	49000
119	Дарья Макарова	разработчик	33000
120	Оксана Самсонова	инженер	74000
121	Виталий Большаков	планировщик	92000
122	Никита Марков	координатор	66000
123	Василиса Шарова	администратор	96000
124	Александра Ковалева	дизайнер	88000
125	Антонида Комиссарова	разработчик	35000
126	Любовь Симонова	сотрудник	75000
127	Екатерина Иванова	руководитель	94000
128	Валентин Белоусов	агент	27000
129	Алла Селиверстова	архитектор	65000
130	Антонина Виноградова	дизайнер	95000
131	Нина Архипова	специалист	37000
132	Лука Хохлов	помощник	44000
133	Алёна Баранова	планировщик	28000
134	Егор Никифоров	техник	70000
135	Илья Фокин	менеджер	35000
136	Арсений Шилов	планировщик	63000
137	Степан Зайцев	разработчик	53000
138	Вероника Игнатова	разработчик	92000
